#time step 
#_initial values (t,x[0],x[1])
35.500000 -4.569476 -0.634869 
35.600000 -4.609761 -0.170049 
35.700000 -4.603404 0.297199 
35.800000 -4.550398 0.762156 
35.900000 -4.451206 1.220122 
36.000000 -4.306761 1.666459 
36.100000 -4.118453 2.096643 
36.200000 -3.888117 2.506307 
36.300000 -3.618015 2.891284 
36.400000 -3.310815 3.247652 
36.500000 -2.969561 3.571773 
36.600000 -2.597647 3.860328 
36.700000 -2.198780 4.110354 
36.800000 -1.776947 4.319272 
36.900000 -1.336370 4.484914 
37.000000 -0.881466 4.605545 
37.100000 -0.416805 4.679882 
37.200000 0.052939 4.707107 
37.300000 0.523033 4.686875 
37.400000 0.988735 4.619318 
37.500000 1.445338 4.505046 
37.600000 1.888222 4.345140 
37.700000 2.312895 4.141142 
37.800000 2.715045 3.895039 
37.900000 3.090579 3.609247 
38.000000 3.435664 3.286582 
38.100000 3.746772 2.930237 
38.200000 4.020706 2.543747 
38.300000 4.254644 2.130957 
38.400000 4.446157 1.695980 
38.500000 4.593244 1.243158 
38.600000 4.694345 0.777021 
38.700000 4.748360 0.302236 
38.800000 4.754662 -0.176435 
38.900000 4.713103 -0.654182 
39.000000 4.624017 -1.126202 
39.100000 4.488213 -1.587739 
39.200000 4.306974 -2.034136 
39.300000 4.082041 -2.460883 
39.400000 3.815597 -2.863659 
39.500000 3.510245 -3.238380 
39.600000 3.168984 -3.581235 
39.700000 2.795178 -3.888730 
39.800000 2.392522 -4.157718 
39.900000 1.965011 -4.385436 
40.000000 1.516891 -4.569531 
40.100000 1.052624 -4.708084 
40.200000 0.576842 -4.799630 
40.300000 0.094299 -4.843173 
40.400000 -0.390174 -4.838198 
40.500000 -0.871721 -4.784676 
40.600000 -1.345505 -4.683062 
40.700000 -1.806760 -4.534297 
40.800000 -2.250838 -4.339794 
40.900000 -2.673256 -4.101429 
41.000000 -3.069738 -3.821518 
41.100000 -3.436265 -3.502796 
41.200000 -3.769107 -3.148394 
41.300000 -4.064869 -2.761802 
41.400000 -4.320521 -2.346840 
41.500000 -4.533428 -1.907615 
41.600000 -4.701380 -1.448486 
41.700000 -4.822613 -0.974016 
41.800000 -4.895829 -0.488927 
41.900000 -4.920206 0.001943 
42.000000 -4.895411 0.493691 
42.100000 -4.821602 0.981401 
42.200000 -4.699428 1.460188 
42.300000 -4.530023 1.925248 
42.400000 -4.314992 2.371909 
42.500000 -4.056404 2.795676 
42.600000 -3.756764 3.192275 
42.700000 -3.418989 3.557698 
42.800000 -3.046387 3.888244 
42.900000 -2.642616 4.180551 
43.000000 -2.211652 4.431639 
43.100000 -1.757749 4.638933 
43.200000 -1.285398 4.800290 
43.300000 -0.799280 4.914027 
43.400000 -0.304222 4.978930 
43.500000 0.194853 4.994272 
43.600000 0.692971 4.959821 
43.700000 1.185164 4.875839 
43.800000 1.666512 4.743086 
43.900000 2.132196 4.562808 
44.000000 2.577546 4.336726 
44.100000 2.998086 4.067021 
44.200000 3.389582 3.756314 
44.300000 3.748082 3.407636 
44.400000 4.069956 3.024402 
44.500000 4.351935 2.610378 
44.600000 4.591141 2.169640 
44.700000 4.785117 1.706537 
44.800000 4.931854 1.225646 
44.900000 5.029811 0.731730 
45.000000 5.077929 0.229686 
45.100000 5.075644 -0.275501 
45.200000 5.022892 -0.778805 
45.300000 4.920113 -1.275214 
45.400000 4.768244 -1.759778 
45.500000 4.568714 -2.227658 
45.600000 4.323425 -2.674173 
45.700000 4.034741 -3.094850 
45.800000 3.705458 -3.485465 
45.900000 3.338782 -3.842089 
46.000000 2.938294 -4.161126 
46.100000 2.507918 -4.439348 
46.200000 2.051880 -4.673930 
46.300000 1.574668 -4.862475 
46.400000 1.080986 -5.003043 
46.500000 0.575709 -5.094167 
46.600000 0.063834 -5.134871 
46.700000 -0.449567 -5.124677 
46.800000 -0.959404 -5.063613 
46.900000 -1.460611 -4.952214 
47.000000 -1.948202 -4.791514 
47.100000 -2.417320 -4.583039 
47.200000 -2.863283 -4.328791 
47.300000 -3.281633 -4.031230 
47.400000 -3.668180 -3.693248 
47.500000 -4.019044 -3.318144 
47.600000 -4.330693 -2.909587 
47.700000 -4.599979 -2.471586 
47.800000 -4.824171 -2.008444 
47.900000 -5.000981 -1.524720 
48.000000 -5.128588 -1.025184 
48.100000 -5.205655 -0.514768 
48.200000 -5.231346 0.001484 
48.300000 -5.205334 0.518461 
48.400000 -5.127801 1.031041 
48.500000 -4.999442 1.534140 
48.600000 -4.821456 2.022759 
48.700000 -4.595535 2.492039 
48.800000 -4.323849 2.937309 
48.900000 -4.009022 3.354127 
49.000000 -3.654112 3.738329 
49.100000 -3.262573 4.086072 
49.200000 -2.838230 4.393868 
49.300000 -2.385235 4.658621 
49.400000 -1.908031 4.877658 
49.500000 -1.411303 5.048758 
49.600000 -0.899937 5.170170 
49.700000 -0.378968 5.240634 
49.800000 0.146465 5.259395 
49.900000 0.671178 5.226207 
50.000000 1.189983 5.141340 
50.100000 1.697748 5.005574 
50.200000 2.189443 4.820196 
50.300000 2.660191 4.586983 
50.400000 3.105319 4.308190 
50.500000 3.520399 3.986524 
50.600000 3.901298 3.625118 
50.700000 4.244214 3.227503 
50.800000 4.545720 2.797570 
50.900000 4.802791 2.339537 
51.000000 5.012840 1.857898 
51.100000 5.173741 1.357391 
51.200000 5.283853 0.842942 
51.300000 5.342033 0.319617 
51.400000 5.347652 -0.207420 
51.500000 5.300599 -0.732969 
51.600000 5.201281 -1.251837 
51.700000 5.050625 -1.758893 
51.800000 4.850064 -2.249120 
51.900000 4.601525 -2.717662 
52.000000 4.307410 -3.159872 
52.100000 3.970575 -3.571362 
52.200000 3.594299 -3.948042 
52.300000 3.182253 -4.286164 
52.400000 2.738465 -4.582358 
52.500000 2.267279 -4.833664 
52.600000 1.773313 -5.037566 
52.700000 1.261415 -5.192011 
52.800000 0.736613 -5.295437 
52.900000 0.204065 -5.346782 
53.000000 -0.330988 -5.345498 
53.100000 -0.863277 -5.291557 
53.200000 -1.387559 -5.185451 
53.300000 -1.898661 -5.028188 
53.400000 -2.391540 -4.821281 
53.500000 -2.861328 -4.566734 
53.600000 -3.303380 -4.267023 
53.700000 -3.713323 -3.925073 
53.800000 -4.087097 -3.544225 
53.900000 -4.420995 -3.128208 
54.000000 -4.711701 -2.681100 
54.100000 -4.956324 -2.207288 
54.200000 -5.152423 -1.711427 
54.300000 -5.298036 -1.198388 
54.400000 -5.391696 -0.673219 
54.500000 -5.432448 -0.141088 
54.600000 -5.419856 0.392765 
54.700000 -5.354013 0.923081 
54.800000 -5.235533 1.444633 
54.900000 -5.065550 1.952276 
55.000000 -4.845708 2.441002 
55.100000 -4.578142 2.905986 
55.200000 -4.265456 3.342636 
55.300000 -3.910704 3.746637 
55.400000 -3.517351 4.113993 
55.500000 -3.089249 4.441069 
55.600000 -2.630589 4.724626 
55.700000 -2.145869 4.961852 
55.800000 -1.639843 5.150392 
55.900000 -1.117478 5.288368 
56.000000 -0.583902 5.374402 
56.100000 -0.044359 5.407627 
56.200000 0.495850 5.387698 
56.300000 1.031413 5.314791 
56.400000 1.557064 5.189607 
56.500000 2.067631 5.013361 
56.600000 2.558090 4.787772 
56.700000 3.023613 4.515048 
56.800000 3.459616 4.197860 
56.900000 3.861805 3.839318 
57.000000 4.226218 3.442941 
57.100000 4.549261 3.012623 
57.200000 4.827751 2.552592 
57.300000 5.058939 2.067370 
57.400000 5.240544 1.561728 
57.500000 5.370769 1.040639 
57.600000 5.448327 0.509229 
57.700000 5.472445 -0.027271 
57.800000 5.442879 -0.563583 
57.900000 5.359911 -1.094429 
58.000000 5.224350 -1.614582 
58.100000 5.037522 -2.118922 
58.200000 4.801259 -2.602485 
58.300000 4.517877 -3.060509 
58.400000 4.190159 -3.488486 
58.500000 3.821323 -3.882202 
58.600000 3.414991 -4.237782 
58.700000 2.975155 -4.551726 
58.800000 2.506138 -4.820943 
58.900000 2.012547 -5.042785 
59.000000 1.499234 -5.215070 
59.100000 0.971243 -5.336105 
59.200000 0.433763 -5.404701 
59.300000 -0.107925 -5.420186 
59.400000 -0.648498 -5.382412 
59.500000 -1.182644 -5.291757 
59.600000 -1.705115 -5.149118 
59.700000 -2.210780 -4.955905 
59.800000 -2.694672 -4.714026 
59.900000 -3.152041 -4.425870 
60.000000 -3.578397 -4.094280 
60.100000 -3.969557 -3.722526 
60.200000 -4.321685 -3.314274 
60.300000 -4.631329 -2.873552 
60.400000 -4.895457 -2.404702 
60.500000 -5.111485 -1.912345 
60.600000 -5.277303 -1.401334 
60.700000 -5.391297 -0.876702 
60.800000 -5.452362 -0.343617 
60.900000 -5.459914 0.192673 
61.000000 -5.413896 0.726887 
61.100000 -5.314781 1.253768 
61.200000 -5.163560 1.768133 
61.300000 -4.961741 2.264923 
61.400000 -4.711325 2.739254 
61.500000 -4.414794 3.186466 
61.600000 -4.075083 3.602167 
61.700000 -3.695548 3.982276 
61.800000 -3.279939 4.323067 
61.900000 -2.832358 4.621202 
62.000000 -2.357219 4.873765 
62.100000 -1.859207 5.078288 
62.200000 -1.343230 5.232782 
62.300000 -0.814370 5.335749 
62.400000 -0.277833 5.386200 
62.500000 0.261102 5.383666 
62.600000 0.797135 5.328200 
62.700000 1.324996 5.220374 
62.800000 1.839499 5.061281 
62.900000 2.335595 4.852516 
63.000000 2.808415 4.596163 
63.100000 3.253325 4.294775 
63.200000 3.665967 3.951348 
63.300000 4.042306 3.569290 
63.400000 4.378663 3.152389 
63.500000 4.671759 2.704774 
63.600000 4.918741 2.230875 
63.700000 5.117213 1.735379 
63.800000 5.265259 1.223180 
63.900000 5.361461 0.699339 
64.000000 5.404911 0.169025 
64.100000 5.395224 -0.362532 
64.200000 5.332538 -0.890092 
64.300000 5.217512 -1.408460 
64.400000 5.051323 -1.912533 
64.500000 4.835648 -2.397354 
64.600000 4.572653 -2.858159 
64.700000 4.264968 -3.290425 
64.800000 3.915662 -3.689913 
64.900000 3.528209 -4.052712 
65.000000 3.106461 -4.375275 
65.100000 2.654602 -4.654456 
65.200000 2.177108 -4.887538 
65.300000 1.678707 -5.072263 
65.400000 1.164328 -5.206852 
65.500000 0.639052 -5.290023 
65.600000 0.108065 -5.321001 
65.700000 -0.423398 -5.299528 
65.800000 -0.950100 -5.225866 
65.900000 -1.466856 -5.100790 
66.000000 -1.968585 -4.925583 
66.100000 -2.450360 -4.702022 
66.200000 -2.907452 -4.432361 
66.300000 -3.335384 -4.119307 
66.400000 -3.729970 -3.765992 
66.500000 -4.087357 -3.375945 
66.600000 -4.404063 -2.953055 
66.700000 -4.677013 -2.501529 
66.800000 -4.903564 -2.025856 
66.900000 -5.081536 -1.530758 
67.000000 -5.209231 -1.021146 
67.100000 -5.285449 -0.502067 
67.200000 -5.309500 0.021341 
67.300000 -5.281209 0.543903 
67.400000 -5.200920 1.060457 
67.500000 -5.069488 1.565908 
67.600000 -4.888275 2.055273 
67.700000 -4.659131 2.523735 
67.800000 -4.384379 2.966689 
67.900000 -4.066789 3.379786 
68.000000 -3.709552 3.758979 
68.100000 -3.316248 4.100558 
68.200000 -2.890807 4.401191 
68.300000 -2.437473 4.657957 
68.400000 -1.960762 4.868367 
68.500000 -1.465414 5.030400 
68.600000 -0.956347 5.142511 
68.700000 -0.438612 5.203654 
68.800000 0.082665 5.213289 
68.900000 0.602327 5.171384 
69.000000 1.115239 5.078420 
69.100000 1.616340 4.935383 
69.200000 2.100694 4.743753 
69.300000 2.563535 4.505491 
69.400000 3.000317 4.223015 
69.500000 3.406758 3.899182 
69.600000 3.778883 3.537253 
69.700000 4.113059 3.140863 
69.800000 4.406038 2.713985 
69.900000 4.654982 2.260888 
70.000000 4.857492 1.786097 
70.100000 5.011635 1.294346 
70.200000 5.115959 0.790531 
70.300000 5.169506 0.279662 
70.400000 5.171825 -0.233188 
70.500000 5.122972 -0.742931 
70.600000 5.023511 -1.244519 
70.700000 4.874506 -1.732989 
70.800000 4.677511 -2.203517 
70.900000 4.434556 -2.651461 
